Company,ESG Risk Rating,Score
"Advanced Energy Industries, Inc.",Low ESG Risk,17.8
"Advanced Energy Solution Holding Co., Ltd.",Medium ESG Risk,25.3
Advanced Enzyme Technologies Ltd.,High ESG Risk,34.0
"Advanced Info Service Public Co., Ltd.",Medium ESG Risk,21.6
Advanced International Multitech Co. Ltd.,Low ESG Risk,11.5
Advanced Medical Solutions Group Plc,Low ESG Risk,14.3
"Advanced Micro Devices, Inc.",Low ESG Risk,15.0
"Advanced Micro Fabrication Equipment, Inc. China",Medium ESG Risk,24.5
"Advanced Nano Products Co., Ltd.",High ESG Risk,36.6
Advanced Petrochemical Co.,Medium ESG Risk,27.8
Advanced Process Systems Corp.,Medium ESG Risk,29.1
"Advanced Technology & Materials Co., Ltd.",Severe ESG Risk,53.0
Advanced Wireless Semiconductor Co.,Medium ESG Risk,20.6
Advancetek Enterprise Co. Ltd.,Low ESG Risk,19.4
"Advansix, Inc.",Medium ESG Risk,23.9
Advantage Energy Ltd.,High ESG Risk,40.0
"Advantage Solutions, Inc. (California)",Low ESG Risk,18.4
"Advantech Co., Ltd.",Low ESG Risk,19.3
Advantest Corp.,Low ESG Risk,16.5
"Adventure, Inc.",High ESG Risk,33.7
ADvTECH Ltd.,Low ESG Risk,17.2
Adyen NV,Low ESG Risk,16.2
"AECC Aero-engine Control Co., Ltd.",Severe ESG Risk,44.2
"AECC Aviation Power Co., Ltd.",Severe ESG Risk,48.8
AECI Ltd.,Medium ESG Risk,28.5
AECOM,Medium ESG Risk,29.8
"Aecon Group, Inc.",Medium ESG Risk,29.9
AEDAS Homes SA,Low ESG Risk,10.9
Aedifica SA,Low ESG Risk,11.0
Aegea Saneamento e Participaçoes SA,Low ESG Risk,12.6
Aegean Airlines SA,Medium ESG Risk,29.0
Aegis Logistics Ltd.,High ESG Risk,38.6
Aegon Ltd.,Low ESG Risk,15.3
Aehr Test Systems,Medium ESG Risk,22.2
"Aekyung Industrial Co., Ltd.",High ESG Risk,32.6
AEM Holdings Ltd.,Low ESG Risk,17.5
Aena S.M.E. SA,Negligible ESG Risk,8.9
AEON Co. (Malaysia) Bhd.,Low ESG Risk,17.2
"AEON Co., Ltd.",Medium ESG Risk,24.5
AEON Credit Service (M) Bhd.,Medium ESG Risk,22.5
"AEON DELIGHT CO., LTD.",Medium ESG Risk,25.3
"AEON Fantasy Co., Ltd.",High ESG Risk,31.7
"AEON Financial Service Co., Ltd.",High ESG Risk,31.4
AEON Hokkaido Corp.,Medium ESG Risk,20.5
"AEON Mall Co., Ltd.",Medium ESG Risk,22.0
AEON REIT Investment Corp.,Low ESG Risk,18.3
AEON Thana Sinsap (Thailand) Public Co. Ltd.,Medium ESG Risk,24.2
"AEP Texas, Inc.",Medium ESG Risk,29.5
AEP Transmission Co. LLC,Severe ESG Risk,44.6
AerCap Holdings NV,Medium ESG Risk,20.0
Aeroporti di Roma SpA,Low ESG Risk,13.9
Aéroports de Montréal,Low ESG Risk,17.0
Aéroports de Paris ADP,Low ESG Risk,18.1
Aeropuerto Internacional De La Ciudad De México S.A. de C.V.,Medium ESG Risk,22.2
Aeropuertos Dominicanos Siglo XXI SA,Medium ESG Risk,23.7
"Aerospace Hi-Tech Holding Group Co., Ltd.",Medium ESG Risk,28.9
"Aerovate Therapeutics, Inc.",High ESG Risk,30.3
"AeroVironment, Inc.",High ESG Risk,31.7
AerSale Corp.,Medium ESG Risk,27.7
AES Andes SA,High ESG Risk,36.0
AES Argentina Generación SA,Low ESG Risk,17.1
AES Brasil Energia SA,Low ESG Risk,10.1
"Aeva Technologies, Inc.",High ESG Risk,37.2
AEW UK REIT Plc,Low ESG Risk,16.5
AF Gruppen ASA,High ESG Risk,33.8
"AFC Gamma, Inc.",Medium ESG Risk,29.8
"Affiliated Managers Group, Inc.",Medium ESG Risk,21.1
Affin Bank Bhd.,Medium ESG Risk,27.1
Affinity Water Ltd.,Medium ESG Risk,27.5
"Affirm Holdings, Inc.",Medium ESG Risk,24.1
Affle (India) Ltd.,Medium ESG Risk,20.5
Affordable Housing Finance Plc,Medium ESG Risk,29.3
AFI Properties Ltd.,Medium ESG Risk,24.4
"Aflac, Inc.",Low ESG Risk,18.3
"AfreecaTV Co., Ltd.",Medium ESG Risk,20.8
Africa Finance Corp.,Low ESG Risk,14.5
Africa Israel Residences Ltd.,Medium ESG Risk,24.5
Africa Oil Corp.,Severe ESG Risk,43.9
African Export-Import Bank,High ESG Risk,39.4
African Rainbow Minerals Ltd.,High ESG Risk,33.6
Afrimat Ltd.,High ESG Risk,30.5
AFRY AB,Medium ESG Risk,22.7
After You Public Co. Ltd.,High ESG Risk,33.2
AG Anadolu Grubu Holding AS,High ESG Risk,31.5
"Ag Growth International, Inc.",Medium ESG Risk,22.1
"AGC, Inc. (Japan)",Medium ESG Risk,22.2
AGCO Corp.,Low ESG Risk,17.6
ageas SA/NV,Low ESG Risk,16.2
Agence Française de Développement,Low ESG Risk,11.2
Agence France Locale Société anonyme,Low ESG Risk,18.3
"Agenus, Inc.",Medium ESG Risk,27.6
