Company,ESG Risk Rating,Score
Inner Mongolia Dian Tou Energy Corp. Ltd.,Severe ESG Risk,50.4
"Inner Mongolia ERDOS Resources Co., Ltd.",Severe ESG Risk,49.2
"Inner Mongolia Junzheng Energy & Chemical Group Co., Ltd.",High ESG Risk,31.4
Inner Mongolia Mengdian Huaneng Thermal Power Corp. Ltd.,Severe ESG Risk,52.9
"Inner Mongolia Xingye Silver & Tin Mining Co., Ltd.",Severe ESG Risk,55.8
"Inner Mongolia Yili Industrial Group Co., Ltd.",High ESG Risk,37.2
"Inner Mongolia Yitai Coal Co., Ltd.",Severe ESG Risk,50.1
"Inner Mongolia Yuan Xing Energy Co., Ltd.",High ESG Risk,37.8
"Innergex Renewable Energy, Inc.",Low ESG Risk,18.2
INNIO Group Holding GmbH,Negligible ESG Risk,9.6
InnoCare Pharma Ltd.,High ESG Risk,30.3
"Innocean Worldwide, Inc.",Low ESG Risk,18.3
"Innodata, Inc.",Medium ESG Risk,23.8
Innodisk Corp.,Low ESG Risk,16.9
Innolux Corp.,Low ESG Risk,15.6
"Innospec, Inc.",Medium ESG Risk,23.9
InnovAge Holding Corp.,Medium ESG Risk,26.6
INNOVATE Corp.,Severe ESG Risk,44.4
"Innovative Industrial Properties, Inc.",Low ESG Risk,18.6
"Innovent Biologics, Inc.",High ESG Risk,30.5
"Innoviva, Inc.",High ESG Risk,30.2
Innoviz Technologies Ltd.,Medium ESG Risk,21.4
"INNOX Advanced Materials Co., Ltd.",Medium ESG Risk,22.3
"Innuovo Technology Co., Ltd.",Severe ESG Risk,56.8
"Inogen, Inc.",Medium ESG Risk,22.4
Inox Wind Ltd.,Medium ESG Risk,28.3
"Inozyme Pharma, Inc.",High ESG Risk,33.1
INPEX Corp.,High ESG Risk,35.6
InPost SA,Low ESG Risk,17.6
InRetail Perú Corp.,Low ESG Risk,17.6
Inretail Shopping Malls,Low ESG Risk,13.0
Inrom Construction Industries Ltd.,High ESG Risk,30.5
"Inscobee, Inc.",High ESG Risk,39.8
"Insight Enterprises, Inc.",Low ESG Risk,11.1
Insignia Financial Ltd.,Medium ESG Risk,28.8
"Insmed, Inc.",Medium ESG Risk,25.7
"insource Co., Ltd.",Low ESG Risk,13.3
"Insperity, Inc.",Low ESG Risk,12.4
"Inspire Medical Systems, Inc.",High ESG Risk,33.1
"Inspired Entertainment, Inc.",Medium ESG Risk,27.1
Inspur Digital Enterprise Technology Ltd.,Medium ESG Risk,23.9
Instalco AB,Low ESG Risk,18.4
"Installed Building Products, Inc.",Medium ESG Risk,20.4
"Insteel Industries, Inc.",High ESG Risk,30.9
Instituto de Crédito Oficial,Negligible ESG Risk,8.9
Instone Real Estate Group SE,Low ESG Risk,12.0
"Instructure Holdings, Inc.",Medium ESG Risk,27.8
Insulet Corp.,Medium ESG Risk,23.1
"INSUN Environmental New Technology Co., Ltd.",Medium ESG Risk,27.2
Insurance Australia Group Ltd.,Medium ESG Risk,23.1
Intact Financial Corp.,Medium ESG Risk,20.5
"INTAGE HOLDINGS, Inc.",Low ESG Risk,19.5
"Intapp, Inc.",Medium ESG Risk,23.4
"Intco Medical Technology Co., Ltd.",Low ESG Risk,11.9
Integer Holdings Corp.,Medium ESG Risk,25.6
Integra LifeSciences Holdings Corp.,Medium ESG Risk,23.7
Integrafin Holdings Plc,Medium ESG Risk,21.5
Integral Ad Science Holding Corp.,Medium ESG Risk,22.4
Integral Diagnostics Ltd.,Medium ESG Risk,20.1
Integrated Accommodation Services Plc,High ESG Risk,30.8
"Integrated Design & Engineering Holdings Co., Ltd.",High ESG Risk,35.6
Integrated Holding Co. KCSC,Medium ESG Risk,28.8
Integrated Team Solutions PCH Partnership,High ESG Risk,34.9
Intel Corp.,Low ESG Risk,17.3
Intelbras SA Indústria de Telecomunicação Eletrônica Brasileir,Medium ESG Risk,20.9
Intellect Design Arena Ltd.,Medium ESG Risk,24.0
"Intellia Therapeutics, Inc.",Medium ESG Risk,26.9
"Intellian Technologies, Inc.",Medium ESG Risk,23.1
Inter Cars SA,Low ESG Risk,11.8
"Inter Parfums, Inc.",High ESG Risk,33.9
Inter RAO UES PJSC,High ESG Risk,38.1
Inter-American Development Bank,Negligible ESG Risk,7.0
Inter-American Investment Corp.,Negligible ESG Risk,8.2
"Interactive Brokers Group, Inc.",Medium ESG Risk,26.6
InterCement Portugal SA,High ESG Risk,39.4
"Intercept Pharmaceuticals, Inc.",Medium ESG Risk,27.2
Interchile SA,Medium ESG Risk,29.1
Interconexion Eléctrica SA ESP,Low ESG Risk,15.6
"Intercontinental Exchange, Inc.",Low ESG Risk,19.4
InterContinental Hotels Group Plc,Low ESG Risk,19.1
"Intercorp Financial Services, Inc.",Medium ESG Risk,29.1
Intercorp Peru Ltd.,Medium ESG Risk,21.0
Intercos SpA,Medium ESG Risk,29.2
"InterDigital, Inc.",Medium ESG Risk,21.7
"Interface, Inc.",Negligible ESG Risk,6.3
INTERFLEX Co. Ltd.,Medium ESG Risk,27.4
Interfor Corp.,Low ESG Risk,19.1
InterGlobe Aviation Ltd.,High ESG Risk,30.4
Intermediate Capital Group Plc,Low ESG Risk,14.9
International Bancshares Corp.,Medium ESG Risk,28.1
International Bank for Reconstruction & Development,Negligible ESG Risk,8.0
International Bank of Azerbaijan OJSC,High ESG Risk,34.4
International Business Machines Corp.,Low ESG Risk,14.1
International Consolidated Airlines Group SA,Medium ESG Risk,25.7
"International Container Terminal Services, Inc.",Low ESG Risk,16.1
International CSRC Investment Holdings Co. Ltd.,High ESG Risk,33.3
International Distributions Services plc,Low ESG Risk,17.4
International Finance Corp.,Negligible ESG Risk,8.4
International Finance Facility for Immunisation Co.,Low ESG Risk,20.0
"International Flavors & Fragrances, Inc.",Medium ESG Risk,23.6
International Game Technology PLC,Low ESG Risk,15.5
"International Games System Co., Ltd.",Low ESG Risk,18.0
International Holding Co. PJSC,High ESG Risk,33.9
"International Money Express, Inc.",High ESG Risk,33.6
International Paper Co.,Medium ESG Risk,24.0
International Personal Finance Plc,Medium ESG Risk,27.5
International Petroleum Corp.,High ESG Risk,38.7
International Public Partnerships Limited,Medium ESG Risk,29.1
"International Seaways, Inc.",Severe ESG Risk,41.0
"Internet Initiative Japan, Inc.",Medium ESG Risk,23.4
Interparfums,Medium ESG Risk,24.8
Interpipe Holdings Plc,High ESG Risk,36.9
"Interpublic Group of Cos., Inc.",Negligible ESG Risk,9.7
Interpump Group SpA,Medium ESG Risk,26.0
InterRent Real Estate Investment Trust,Low ESG Risk,16.5
Interroll Holding AG,Medium ESG Risk,21.5
Intershop Holding AG,Low ESG Risk,14.6
Interstate Power & Light Co.,Medium ESG Risk,29.8
Intertek Group Plc,Low ESG Risk,18.3
Intervest Offices & Warehouses SA,Low ESG Risk,10.6
Intesa Sanpaolo SpA,Low ESG Risk,10.9
inTEST Corp.,Low ESG Risk,19.7
"Intops Co., Ltd.",Medium ESG Risk,27.4
Intouch Holdings Public Co. Ltd.,Medium ESG Risk,27.9
"Intra-Cellular Therapies, Inc.",High ESG Risk,34.6
INTRALOT SA,Medium ESG Risk,26.1
"Intrepid Potash, Inc.",High ESG Risk,39.1
"iNtRON Biotechnology, Inc.",Medium ESG Risk,28.6
Intron Technology Holdings Ltd.,Medium ESG Risk,23.7
Intrum AB,Low ESG Risk,14.7
"Intuit, Inc.",Low ESG Risk,17.9
"Intuitive Surgical, Inc.",Medium ESG Risk,21.1
"Inui Global Logistics Co., Ltd.",Medium ESG Risk,22.4
Inventec Corp.,Low ESG Risk,15.2
InvenTrust Properties Corp.,Low ESG Risk,12.6
Inversiones Aguas Metropolitanas SA,Medium ESG Risk,25.3
Inversiones Atlantida SA,High ESG Risk,36.2
Inversiones CMPC SA,Low ESG Risk,19.1
Inversiones La Construccion SA,Low ESG Risk,11.2
Inversiones Latin America Power Ltd.,High ESG Risk,31.0
Invesco Ltd.,Medium ESG Risk,22.7
"Invesco Mortgage Capital, Inc.",Low ESG Risk,17.5
InvestCo Holding AS,High ESG Risk,39.6
Investec Plc,Low ESG Risk,16.0
Investis Holding SA,Medium ESG Risk,20.8
Investitionsbank Berlin,Low ESG Risk,12.7
Investitionsbank des Landes Brandenburg,Medium ESG Risk,27.4
Investitionsbank Schleswig-Holstein,Low ESG Risk,16.9
Investment AB Latour,Low ESG Risk,15.9
Investment AB Öresund,Low ESG Risk,14.5
Investment Energy Resources Ltd.,Medium ESG Risk,28.3
Investor AB,Negligible ESG Risk,9.7
Investore Property Ltd.,Low ESG Risk,17.5
Investors Title Co.,Medium ESG Risk,29.4
Invincible Investment Corp.,Low ESG Risk,17.4
INVISIO AB,Low ESG Risk,18.1
Invitae Corp.,Medium ESG Risk,23.9
"Invitation Homes, Inc.",Low ESG Risk,17.0
InvoCare Ltd.,Low ESG Risk,15.7
Inwido AB,Medium ESG Risk,23.1
Iochpe-Maxion SA,Low ESG Risk,17.4
IOI Corp. Bhd.,Medium ESG Risk,24.7
IOI Properties Group Bhd.,Low ESG Risk,13.1
Ion Beam Applications SA,Medium ESG Risk,26.3
Ion Exchange (India) Ltd.,Medium ESG Risk,29.4
ioneer Ltd.,Severe ESG Risk,43.0
"Ionis Pharmaceuticals, Inc.",Medium ESG Risk,26.4
"IonQ, Inc.",Medium ESG Risk,20.0
"Iovance Biotherapeutics, Inc.",Medium ESG Risk,28.2
IP Group Plc,Low ESG Risk,16.7
Ipca Laboratories Ltd.,High ESG Risk,30.8
Ipek Dogal Enerji Kaynaklari Arastirma ve Üretim AS,Severe ESG Risk,49.8
IPG Photonics Corp.,Low ESG Risk,11.4
IPH Ltd.,Medium ESG Risk,23.3
Ipoteka-Bank,High ESG Risk,35.6
Ipsen SA,Medium ESG Risk,25.6
Ipsos SA,Medium ESG Risk,20.8
"iQIYI, Inc.",Low ESG Risk,18.9
"IQVIA Holdings, Inc.",Low ESG Risk,18.4
"IQVIA, Inc.",Low ESG Risk,18.6
IR Japan Holdings Ltd.,Medium ESG Risk,21.3
IRadimed Corp.,High ESG Risk,30.1
"iRay Technology Co., Ltd.",High ESG Risk,38.4
IRB Brasil Resseguros SA,High ESG Risk,34.9
IRB Infrastructure Developers Ltd.,High ESG Risk,34.0
IRB InvIT Fund,Medium ESG Risk,23.1
IRCON International Ltd.,High ESG Risk,38.3
Iren SpA,Medium ESG Risk,20.1
Iress Ltd.,Low ESG Risk,14.2
"iRhythm Technologies, Inc.",Medium ESG Risk,27.8
"Iridium Communications, Inc.",Medium ESG Risk,27.8
Irish Continental Group Plc,Medium ESG Risk,22.4
Irish Residential Properties REIT Plc,Low ESG Risk,12.2
"IRISO Electronics Co., Ltd.",Medium ESG Risk,23.8
IRLAB Therapeutics AB,High ESG Risk,36.0
iRobot Corp.,Medium ESG Risk,24.3
"Iron Force Industrial Co., Ltd.",Medium ESG Risk,21.5
"Iron Mountain, Inc.",Low ESG Risk,12.5
"Ironwood Pharmaceuticals, Inc.",Low ESG Risk,18.9
"IRPC Public Co., Ltd.",High ESG Risk,35.5
Irras AB,High ESG Risk,30.9
"IS DONGSEO Co., Ltd.",Medium ESG Risk,27.2
Is Finansal Kiralama AS,Medium ESG Risk,28.4
Is Gayrimenkul Yatirim Ortakligi AS,Low ESG Risk,17.5
Is Yatirim Menkul Degerler AS,High ESG Risk,31.7
"ISC Co., Ltd.",Medium ESG Risk,25.6
"Iseki & Co., Ltd.",Medium ESG Risk,24.1
Isetan Mitsukoshi Holdings Ltd.,Medium ESG Risk,25.4
ISGEC Heavy Engineering Ltd.,High ESG Risk,32.0
ISHIHARA SANGYO KAISHA LTD.,High ESG Risk,37.5
Iskenderun Demir ve Çelik AS,Medium ESG Risk,29.1
Íslandsbanki hf,Medium ESG Risk,24.8
Isofol Medical AB,High ESG Risk,36.7
Isracard Ltd.,Medium ESG Risk,23.7
Israel Canada (T.R) Ltd.,Medium ESG Risk,21.4
Israel Corp. Ltd.,Severe ESG Risk,54.9
Israel Discount Bank Ltd.,Medium ESG Risk,25.4
Isras Investment Co. Ltd.,Medium ESG Risk,23.9
Isrotel Ltd.,High ESG Risk,36.4
ISS A/S,Low ESG Risk,13.5
"istyle, Inc.",Medium ESG Risk,29.4
Isuzu Motors Ltd.,Medium ESG Risk,26.8
ITAB Shop Concept AB,Low ESG Risk,12.7
Italgas SpA,Low ESG Risk,16.9
"Italian-Thai Development Public Co., Ltd.",Severe ESG Risk,48.0
Italmobiliare SpA,Negligible ESG Risk,9.7
Italtile Ltd.,Low ESG Risk,15.7
Itaú Unibanco Holding SA,Medium ESG Risk,24.8
Itausa SA,Low ESG Risk,14.3
ITC Holdings Corp.,Severe ESG Risk,41.2
ITC Ltd.,High ESG Risk,30.7
"ITE Tech, Inc.",Medium ESG Risk,27.5
"iTeos Therapeutics, Inc.",Medium ESG Risk,23.0
ITEQ Corp.,Low ESG Risk,17.3
"Iteris, Inc.",Low ESG Risk,14.2
ITM Power Plc,Medium ESG Risk,26.3
"ITM Semiconductor Co., Ltd.",Severe ESG Risk,41.6
"ITO EN, LTD.",High ESG Risk,30.6
ITOCHU Corp.,Low ESG Risk,19.3
"ITOCHU ENEX CO., LTD.",High ESG Risk,36.3
ITOCHU Techno-Solutions Corp.,Low ESG Risk,17.0
"Itochu-Shokuhin Co., Ltd.",Low ESG Risk,16.0
"Itoham Yonekyu Holdings, Inc.",High ESG Risk,32.1
ITR Concession Co. LLC,Low ESG Risk,12.3
"Itron, Inc.",Negligible ESG Risk,9.2
"ITT, Inc.",Medium ESG Risk,23.9
Ituran Location & Control Ltd.,Low ESG Risk,19.2
ITV Plc,Low ESG Risk,11.6
"Ivanhoé Cambridge, Inc.",Low ESG Risk,18.1
"Ivanhoe Electric, Inc.",Severe ESG Risk,50.4
Ivanhoe Mines Ltd.,Medium ESG Risk,27.7
Iveco Group NV,Medium ESG Risk,21.0
"IVERIC bio, Inc.",Medium ESG Risk,23.3
IVS Group SA,Medium ESG Risk,23.7
Iwatani Corp.,High ESG Risk,30.8
IWG Plc,Negligible ESG Risk,9.1
Izmir Demir Celik Sanayi Anonim Sirketi,Severe ESG Risk,46.8
"Izumi Co., Ltd.",Medium ESG Risk,21.4
J Sainsbury Plc,Medium ESG Risk,20.7
"J Trust Co., Ltd.",High ESG Risk,31.2
"J-Oil Mills, Inc.",Medium ESG Risk,29.8
"J. FRONT RETAILING Co., Ltd.",Low ESG Risk,19.4
J. Kumar Infraprojects Ltd.,High ESG Risk,35.4
J.B. Chemicals & Pharmaceuticals Ltd.,Medium ESG Risk,27.2
"J.B. Hunt Transport Services, Inc.",Low ESG Risk,14.5
"J.Jill, Inc.",Low ESG Risk,17.7
J.K. Cement Ltd.,Medium ESG Risk,29.1
"J.S. Corrugating Machinery Co., Ltd.",High ESG Risk,35.5
J&J Snack Foods Corp.,High ESG Risk,37.4
"JA Solar Technology Co., Ltd.",High ESG Risk,30.5
JAB Holding Co. SARL,Negligible ESG Risk,3.3
"Jabil, Inc.",Low ESG Risk,11.1
"JAC Recruitment Co., Ltd.",Low ESG Risk,15.2
"JACCS Co., Ltd.",Medium ESG Risk,26.6
"Jack Henry & Associates, Inc.",Low ESG Risk,18.7
"Jack in the Box, Inc.",Medium ESG Risk,28.5
"Jackson Financial, Inc.",Medium ESG Risk,26.4
Jackson National Life Insurance Co.,Medium ESG Risk,26.2
"Jacobio Pharmaceuticals Group Co., Ltd.",Medium ESG Risk,24.5
"Jacobs Engineering Group, Inc.",Medium ESG Risk,23.2
"Jacobs Solutions, Inc.",Medium ESG Risk,28.6
Jacquet Metals SA,Medium ESG Risk,28.1
"Jade Bird Fire Co., Ltd.",Medium ESG Risk,26.0
"JAFCO Group Co., Ltd.",High ESG Risk,30.8
"Jafron Biomedical Co., Ltd.",High ESG Risk,37.3
Jaguar Land Rover Automotive Plc,Low ESG Risk,15.6
Jahez International Co. for Information Systems Technology,High ESG Risk,35.1
"Jahwa Electronics Co., Ltd.",High ESG Risk,30.2
Jain Irrigation Systems Ltd.,Medium ESG Risk,25.7
Jaiprakash Power Ventures Ltd.,Severe ESG Risk,51.1
"JAKKS Pacific, Inc.",Low ESG Risk,13.6
Jalles Machado SA,High ESG Risk,35.1
JAMCO Corp.,High ESG Risk,38.8
James Fisher & Sons Plc,Medium ESG Risk,20.6
James Halstead Plc,Medium ESG Risk,28.1
James Hardie Industries Plc,Medium ESG Risk,28.2
James River Group Holdings Ltd.,High ESG Risk,38.4
Jamf Holding Corp.,Low ESG Risk,18.8
"Jamieson Wellness, Inc.",High ESG Risk,35.3
Jammu & Kashmir Bank Ltd.,Medium ESG Risk,28.7
Jamna Auto Industries Ltd.,Medium ESG Risk,21.8
Janus Henderson Group Plc,Low ESG Risk,19.2
"Janus International Group, Inc.",High ESG Risk,30.3
"Janux Therapeutics, Inc.",Medium ESG Risk,28.8
"Japan Airlines Co., Ltd.",Medium ESG Risk,26.4
"Japan Airport Terminal Co., Ltd.",Medium ESG Risk,26.0
Japan Aviation Electronics Industry Ltd.,Medium ESG Risk,23.0
Japan Bank for International Cooperation,Low ESG Risk,16.3
"Japan Best Rescue System Co., Ltd.",Low ESG Risk,18.5
"Japan Display, Inc.",Medium ESG Risk,24.1
"Japan Elevator Service Holdings Co., Ltd.",Severe ESG Risk,40.1
"Japan Excellent, Inc.",Low ESG Risk,16.3
"Japan Exchange Group, Inc.",Medium ESG Risk,20.6
Japan Expressway Holding & Debt Repayment Agency,Medium ESG Risk,29.6
Japan Finance Corp.,Medium ESG Risk,26.1
Japan Highway Public Corp.,Severe ESG Risk,45.7
Japan Hotel REIT Investment Corp.,Low ESG Risk,16.6
Japan Housing Finance Agency,Medium ESG Risk,24.9
Japan International Cooperation Agency,Medium ESG Risk,25.7
"Japan Lifeline Co., Ltd.",Low ESG Risk,17.7
"Japan Logistics Fund, Inc.",Low ESG Risk,12.3
"Japan Material Co., Ltd.",Low ESG Risk,20.0
"Japan Medical Dynamic Marketing, Inc.",Low ESG Risk,18.3
Japan Metropolitan Fund Investment Corp.,Low ESG Risk,13.8
"Japan Petroleum Exploration Co., Ltd.",High ESG Risk,36.7
"Japan Post Bank Co., Ltd.",Low ESG Risk,19.5
"Japan Post Holdings Co., Ltd.",Medium ESG Risk,24.8
"JAPAN POST INSURANCE Co., Ltd.",Medium ESG Risk,24.8
Japan Prime Realty Investment Corp.,Low ESG Risk,12.8
"Japan Pulp & Paper Co., Ltd.",Medium ESG Risk,27.9
Japan Railway Construction Transport & Technology Agency,Low ESG Risk,12.2
Japan Real Estate Investment Corp.,Low ESG Risk,11.9
"Japan Securities Finance Co., Ltd.",High ESG Risk,33.3
"Japan Tobacco, Inc.",Medium ESG Risk,28.6
Japan Transcity Corp.,Medium ESG Risk,26.1
Jardine Cycle & Carriage Ltd.,High ESG Risk,32.8
Jardine Matheson Holdings Ltd.,High ESG Risk,38.2
Jarir Marketing Co.,Low ESG Risk,19.3
Jasmine International Public Co. Ltd.,High ESG Risk,33.9
Jasmine Technology Solution Public Co. Ltd.,High ESG Risk,30.2
"Jason Furniture (Hangzhou) Co., Ltd.",Low ESG Risk,17.2
Jastrzebska Spólka Weglowa SA,High ESG Risk,39.4
Jaya Tiasa Holdings Bhd.,Medium ESG Risk,23.0
"Jaymart Group Holdings Public Co., Ltd.",Low ESG Risk,16.0
Jazeera Airways Co. K.S.C.,Medium ESG Risk,29.8
Jazz Pharmaceuticals Plc,Medium ESG Risk,25.3
"JB Financial Group Co., Ltd.",Medium ESG Risk,24.3
JB Hi-Fi Ltd.,Low ESG Risk,15.2
JBG SMITH Properties,Low ESG Risk,13.1
JBM Auto Ltd.,Medium ESG Risk,20.9
JBS SA,Severe ESG Risk,43.7
JBS USA Food Co.,High ESG Risk,34.1
JCDecaux SE,Low ESG Risk,13.7
"JCET Group Co., Ltd.",High ESG Risk,32.9
"JCHX Mining Management Co., Ltd.",Severe ESG Risk,55.4
"JCR Pharmaceuticals Co., Ltd.",Medium ESG Risk,27.9
JCU Corp.,High ESG Risk,34.2
"JD Health International, Inc.",Low ESG Risk,19.9
"JD Logistics, Inc.",Medium ESG Risk,21.2
JD Sports Fashion Plc,Low ESG Risk,11.1
JD Wetherspoon Plc,Medium ESG Risk,28.1
"JD.com, Inc.",Medium ESG Risk,25.5
JDC Corp. (Japan),High ESG Risk,39.2
JDE Peet's NV,Medium ESG Risk,20.4
"Jefferies Financial Group, Inc.",Medium ESG Risk,25.9
"Jeil Pharmaceutical Co., Ltd.",High ESG Risk,36.5
"Jeisys Medical, Inc.",High ESG Risk,35.2
"JEJUAIR CO., LTD.",High ESG Risk,38.2
"JELD-WEN Holding, Inc.",Medium ESG Risk,28.7
"Jenkem Technology Co., Ltd.",High ESG Risk,31.3
Jenoptik AG,Low ESG Risk,10.9
Jentech Precision Industrial Co. Ltd.,Medium ESG Risk,24.1
JEOL Ltd.,Low ESG Risk,18.1
Jerónimo Martins SGPS SA,Low ESG Risk,17.4
Jersey Central Power & Light Co.,Medium ESG Risk,20.6
"Jersey Mike's Franchise Systems, Inc.",High ESG Risk,33.2
Jervois Global Ltd.,High ESG Risk,35.4
"Jess-Link Products Co., Ltd.",Medium ESG Risk,23.7
Jet2 Plc,Severe ESG Risk,41.7
JetBlue Airways Corp.,High ESG Risk,30.1
Jeudan A/S,Low ESG Risk,18.0
"JFE Holdings, Inc.",High ESG Risk,39.8
JFrog Ltd.,Medium ESG Risk,21.9
"JG Summit Holdings, Inc.",Severe ESG Risk,46.8
JGC Holdings Corp.,Severe ESG Risk,42.3
JHSF Participações SA,Low ESG Risk,14.9
"Jiajiayue Group Co., Ltd.",Medium ESG Risk,29.5
"Jiangling Motors Co., Ltd.",High ESG Risk,30.2
"Jiangsu Amer New Material Co., Ltd.",Medium ESG Risk,23.4
Jiangsu Azure Corp.,High ESG Risk,30.8
"Jiangsu Boqian New Materials Stock Co., Ltd.",Medium ESG Risk,25.6
Jiangsu Broadcasting Cable Information Network Corp. Ltd.,Low ESG Risk,17.9
"Jiangsu Changshu Rural Commercial Bank Co., Ltd.",Medium ESG Risk,26.2
"Jiangsu Cnano Technology Co., Ltd.",High ESG Risk,30.3
"Jiangsu Eastern Shenghong Co., Ltd.",High ESG Risk,34.2
Jiangsu Expressway Co. Ltd.,Low ESG Risk,11.9
"Jiangsu Guomao Reducer Co., Ltd.",High ESG Risk,36.2
"Jiangsu Guotai International Group Co., Ltd.",Medium ESG Risk,23.6
Jiangsu Guoxin Corp. Ltd.,High ESG Risk,36.8
"Jiangsu Haili Wind Power Equipment Technology Co., Ltd.",High ESG Risk,30.3
"Jiangsu Hengli Hydraulic Co., Ltd.",High ESG Risk,35.5
"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",High ESG Risk,31.4
"Jiangsu Hoperun Software Co., Ltd.",High ESG Risk,30.2
"Jiangsu Huahong Technology Stock Co., Ltd.",High ESG Risk,35.5
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",High ESG Risk,30.5
"Jiangsu Jiejie Microelectronics Co., Ltd.",Medium ESG Risk,25.7
"Jiangsu Kanion Pharmaceutical Co., Ltd.",High ESG Risk,34.3
"Jiangsu King's Luck Brewery Joint-stock Co., Ltd.",Medium ESG Risk,29.9
"Jiangsu Lihua Animal Husbandry Co., Ltd.",Severe ESG Risk,47.5
"Jiangsu Linyang Energy Co., Ltd.",Low ESG Risk,19.1
"Jiangsu Lopal Tech. Co., Ltd.",High ESG Risk,35.0
"Jiangsu Nata Opto-electronic Material Co., Ltd.",Medium ESG Risk,26.0
"Jiangsu Nhwa Pharmaceutical Co., Ltd.",Medium ESG Risk,29.4
"Jiangsu Phoenix Publishing & Media Corp., Ltd.",Low ESG Risk,17.3
"Jiangsu Provincial Agricultural Reclamation & Dev Co., Ltd",Severe ESG Risk,42.4
"Jiangsu Recbio Technology Co., Ltd.",Medium ESG Risk,25.1
"Jiangsu Shagang Co., Ltd.",Severe ESG Risk,41.9
"Jiangsu Shuangxing Color Plastic New Materials Co., Ltd.",Medium ESG Risk,21.3
"Jiangsu ToLand Alloy Co., Ltd.",Severe ESG Risk,55.6
"Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.",Medium ESG Risk,29.5
"Jiangsu Yangnong Chemical Co., Ltd.",Severe ESG Risk,40.9
"Jiangsu Yoke Technology Co., Ltd.",High ESG Risk,32.4
"Jiangsu Yuyue Medical Equipment & Supply Co., Ltd.",High ESG Risk,36.7
"Jiangsu Zhangjiagang Rural Commercial Bank Co., Ltd.",High ESG Risk,30.4
"Jiangsu Zhongnan Construction Group Co., Ltd.",Medium ESG Risk,26.0
"Jiangsu Zhongtian Technology Co., Ltd.",Medium ESG Risk,29.2
"Jiangxi Copper Co., Ltd.",Severe ESG Risk,48.0
"Jiangxi Jovo Energy Co., Ltd.",Severe ESG Risk,52.6
"Jiangxi Lianchuang Optoelectronic Science & Tech Co., Ltd.",Medium ESG Risk,27.4
"Jiangxi Special Electric Motor Co., Ltd.",Severe ESG Risk,62.5
"Jiangxi Wannianqing Cement Co., Ltd.",Severe ESG Risk,40.5
"Jiangyin Hengrun Heavy Industries Co., Ltd.",High ESG Risk,36.3
"Jiaozuo Wanfang Aluminum Manufacturing Co., Ltd.",High ESG Risk,39.7
Jigsaw Funding Plc,High ESG Risk,35.6
Jihua Group Corp. Ltd.,Medium ESG Risk,24.3
"Jilin Aodong Pharmaceutical Group Co., Ltd.",High ESG Risk,33.2
"Jilin Electric Power Co., Ltd.",Severe ESG Risk,61.8
"JIN AIR Co., Ltd.",High ESG Risk,31.7
"Jin Tong Ling Technology Group Co., Ltd.",High ESG Risk,35.5
Jinchuan Group International Resources Co. Ltd.,Medium ESG Risk,26.3
Jindal SAW Ltd.,Severe ESG Risk,44.2
Jindal Stainless Ltd.,Severe ESG Risk,46.0
Jindal Steel & Power Ltd.,Severe ESG Risk,50.6
Jindal Worldwide Ltd.,Low ESG Risk,18.8
"Jinduicheng Molybdenum Co., Ltd.",Severe ESG Risk,54.7
"Jinghua Pharmaceutical Group Co., Ltd.",High ESG Risk,37.3
"Jingjin Equipment, Inc.",High ESG Risk,33.0
"Jinhui Liquor Co., Ltd.",Medium ESG Risk,27.1
"Jinke Property Group Co., Ltd.",Medium ESG Risk,28.7
"Jinke Smart Services Group Co., Ltd.",Low ESG Risk,20.0
"Jinko Solar Co., Ltd.",High ESG Risk,32.5
"JinkoSolar Holding Co., Ltd.",High ESG Risk,32.2
"Jinlei Technology Co., Ltd.",Medium ESG Risk,28.2
"Jinneng Holding Shanxi Coal Industry Co., Ltd.",Severe ESG Risk,53.7
"Jinneng Holding Shanxi Electric Power Co,. Ltd.",Severe ESG Risk,58.5
"Jinneng Science & Technology Co., Ltd.",High ESG Risk,34.5
"Jins Holdings, Inc.",Low ESG Risk,17.8
Jinxin Fertility Group Ltd.,Medium ESG Risk,24.0
"Jionto Energy Investment Co., Ltd. Hebei",Severe ESG Risk,54.8
"Jiugui Liquor Co., Ltd.",High ESG Risk,31.4
Jiumaojiu International Holdings Ltd.,Medium ESG Risk,29.5
"Jiuzhitang Co., Ltd.",High ESG Risk,37.2
"Jizhong Energy Resources Co., Ltd.",Severe ESG Risk,60.6
JJBC LLC,High ESG Risk,32.8
JK Lakshmi Cement Ltd.,High ESG Risk,32.5
JK Paper Ltd.,Medium ESG Risk,26.5
JK Tyre & Industries Ltd.,Medium ESG Risk,20.6
"JL MAG Rare-Earth Co., Ltd.",High ESG Risk,31.3
JLEN Environmental Assets Group Ltd.,Medium ESG Risk,20.2
JM AB,Medium ESG Risk,20.8
"JM Family Enterprises, Inc.",Medium ESG Risk,24.6
JM Financial Ltd.,High ESG Risk,31.3
"JM Holdings Co., Ltd.",Medium ESG Risk,24.2
"JMDC, Inc.",Medium ESG Risk,23.8
JMT Network Services Public Co. Ltd.,Medium ESG Risk,24.1
JNBY Design Ltd.,Low ESG Risk,16.3
