,Company Name,Date,Environment,Social,Governance,ESG_ratings,Final_ESG_Score,Historical_esg_score
105,Allianz Global Investors,2022-02-22,-1.0,56.23321428571428,-1.0,-1.0,56.23321428571428,56.23321428571428
104,"American International Group, Inc.",2022-03-02,50.644999999999996,-1.0,-1.0,25.9,76.54499999999999,76.54499999999999
103,Financial Reporting Council (UK),2022-03-10,-1.0,-1.0,50.0,-1.0,50.0,50.0
102,Telefonaktiebolaget LM Ericsson (Ericsson),2022-03-10,50.0,-1.0,-1.0,-1.0,50.0,50.0
101,61%,2022-03-14,51.25,-1.0,-1.0,-1.0,51.25,51.25
100,UBS Group AG,2022-03-15,62.5,-1.0,-1.0,27.5,90.0,83.71187499999999
99,Equinor ASA,2022-03-18,50.0,-1.0,-1.0,37.3,87.3,87.3
98,U.S. Securities and Exchange Commission,2022-03-22,56.53,-1.0,-1.0,-1.0,56.53,53.179722222222225
97,HSBC Holdings plc,2022-03-22,50.0,-1.0,-1.0,-1.0,50.0,57.21789772727272
96,United Nations,2022-03-30,50.0,-1.0,-1.0,-1.0,50.0,50.0
95,"Banco Santander, S.A.",2022-03-30,70.6790909090909,-1.0,-1.0,-1.0,70.6790909090909,70.6790909090909
94,Bank of America Corporation,2022-04-05,50.0,-1.0,-1.0,-1.0,50.0,50.0
93,Schroders plc,2022-04-06,-1.0,-1.0,67.30787878787878,-1.0,67.30787878787878,67.30787878787878
92,Barclays PLC,2022-04-13,50.0,-1.0,-1.0,23.8,73.8,76.66583333333334
91,"Martin Marietta Materials, Inc.",2022-04-20,-1.0,-1.0,50.0,28.4,78.4,78.4
90,Citigroup Inc.,2022-04-26,50.83333333333333,-1.0,-1.0,-1.0,50.83333333333333,56.020378787878784
89,Robeco,2022-04-28,50.0,-1.0,-1.0,-1.0,50.0,52.223749999999995
88,"Franklin Resources, Inc.",2022-05-03,-1.0,50.416666666666664,-1.0,21.4,71.81666666666666,71.81666666666666
87,"DuPont de Nemours, Inc.",2022-05-03,60.5375,-1.0,-1.0,28.0,88.5375,88.5375
86,European Commission (or European Union),2022-05-10,48.611111111111114,-1.0,-1.0,-1.0,48.611111111111114,48.611111111111114
85,Bank of America Corporation,2022-05-10,50.0,-1.0,-1.0,-1.0,50.0,50.0
84,Are,2022-05-16,54.82954545454545,-1.0,-1.0,-1.0,54.82954545454545,54.82954545454545
83,"Environmental, Social, and Governance",2022-05-18,-1.0,57.955,-1.0,-1.0,57.955,61.49602272727273
82,Newmont Corporation,2022-05-20,50.0,-1.0,-1.0,-1.0,50.0,50.0
79,"American International Group, Inc.",2022-05-23,50.27777777777778,-1.0,-1.0,25.9,76.17777777777778,76.36138888888888
80,Schroders plc,2022-05-23,62.765,-1.0,-1.0,-1.0,62.765,65.03643939393939
81,Jefferies Financial Group Inc.,2022-05-23,-1.0,50.0,-1.0,-1.0,50.0,50.0
78,BNP Paribas S.A.,2022-06-07,59.03,-1.0,-1.0,-1.0,59.03,54.515
77,Union Bancaire Privée UBP SA,2022-06-14,-1.0,43.75,-1.0,-1.0,43.75,43.75
76,Saudi Arabian Oil Company (Saudi Aramco),2022-06-20,53.125,-1.0,-1.0,-1.0,53.125,53.125
75,"Banks.com, Inc.",2022-06-22,57.5475,-1.0,-1.0,-1.0,57.5475,57.5475
74,Kohlberg Kravis Roberts & Co. L.P.,2022-06-23,50.0,-1.0,-1.0,-1.0,50.0,50.0
73,European Union,2022-06-24,64.78727272727272,-1.0,-1.0,-1.0,64.78727272727272,64.78727272727272
72,246,2022-06-27,-1.0,-1.0,47.115,-1.0,47.115,47.115
71,Farfetch Limited,2022-07-05,50.83333333333333,-1.0,-1.0,-1.0,50.83333333333333,50.83333333333333
70,Fidelity Investments,2022-07-05,60.225,-1.0,-1.0,-1.0,60.225,56.15416666666667
68,The Blackstone Group Inc.,2022-07-08,56.83,-1.0,-1.0,-1.0,56.83,54.665
69,HSBC Holdings plc,2022-07-08,62.5,-1.0,-1.0,-1.0,62.5,58.274318181818174
67,The RMR Group Inc.,2022-07-11,50.0,-1.0,-1.0,-1.0,50.0,50.0
66,Atmos Energy Corporation,2022-07-14,63.08,-1.0,-1.0,-1.0,63.08,63.08
65,Lundin Mining Corporation,2022-07-20,50.0,-1.0,-1.0,-1.0,50.0,50.0
63,Northern Trust Corporation,2022-07-26,68.3975,-1.0,-1.0,-1.0,68.3975,68.3975
64,Pioneer Natural Resources Company,2022-07-26,61.53,-1.0,-1.0,-1.0,61.53,61.53
62,"Houlihan Lokey, Inc.",2022-08-02,47.5,-1.0,-1.0,26.1,73.6,73.6
61,"Banco Santander, S.A.",2022-08-10,50.83333333333333,-1.0,-1.0,-1.0,50.83333333333333,60.756212121212116
60,Barclays PLC,2022-09-07,50.0,-1.0,-1.0,23.8,73.8,75.949375
59,Barclays PLC,2022-09-21,50.0,-1.0,-1.0,23.8,73.8,75.51950000000001
58,HSBC Holdings plc,2022-09-26,-1.0,-1.0,59.03,-1.0,59.03,58.400265151515136
57,80%,2022-10-13,-1.0,59.65954545454545,-1.0,-1.0,59.65954545454545,59.65954545454545
56,Federal Republic of Germany,2022-11-03,67.485,-1.0,-1.0,-1.0,67.485,67.485
55,Deutsche Bank AG,2022-11-09,64.29,-1.0,-1.0,27.9,92.19,83.07807575757576
