Heading,Text,Datetime
AIG releases 2021 ESG report,"American International Group has released its 2021 Environmental, Social and Governance report.",2022-05-23 16:14:57+00:00
Schroders pushes oil majors to move to net zero,Schroders has said that it is pre-declaring its voting intentions for three oil & gas majors to encourage a faster shift towards net zero.,2022-05-23 16:05:02+00:00
Jefferies issues annual ESG report,Jefferies Financial Group has announced the publication of its annual ESG report.,2022-05-23 14:07:33+00:00
Newmont publishes 2021 climate report,Newmont Corporation has published its 2021 Climate Report.,2022-05-20 15:34:09+00:00
ESG activism increases by 20% at start of 2022,A report by Alvarez & Marsal says that ESG related shareholder activism in Europe saw a 20% increase in January and February compared to the same period in 2021.,2022-05-18 08:08:45+00:00
Are sustainable companies more expensive?,"New research by Duncan Lamont, Head of Strategic Research at Schroders, asks if firms with sustainable practices trade at higher valuations.",2022-05-16 07:24:44+00:00
BofA & Oxford partner on finance sustainability,Bank of America andÂ Oxfordâs Smith School of Enterprise and the Environment have announced a collaboration to tackle climate change and transform sustainability in financial services.,2022-05-10 13:23:16+00:00
European ESG bond issues decline in Q1 2022,"European ESG bond and loan issuance declined 32.4% in Q1 2022 on the previous year, according to the Association for Financial Markets in Europe.",2022-05-10 12:21:38+00:00
American Express issues $1 billion ESG bond,American Express Company has announced the settlement of the companyâs first ESG bond.,2022-05-05 08:06:23+00:00
DuPont publishes 2022 sustainability report,DuPont has published its 2022 Sustainability Report detailing its ESG progress and actions to achieve its 2030 sustainability goals.,2022-05-03 08:17:38+00:00
Franklin Templeton releases CSR report,Franklin Templeton has released its annual corporate social responsibility report for 2022.,2022-05-03 08:10:30+00:00
Robeco publishes 2021 sustainability report,Robeco has published its 2021 sustainability report.,2022-04-28 07:50:02+00:00
Citi releases 2021 ESG report,"Citi has released its 2021 Environmental, Social and Governance report for 2021.",2022-04-26 07:25:03+00:00
JPMorgan Chase publishes ESG report for 2021,JPMorgan Chase has published its latest ESG Report.Â,2022-04-21 09:24:18+00:00
Martin Currie releases stewardship report,Martin Currie has released its annual stewardship report detailing its ESG and stewardship activities in 2021.Â,2022-04-20 07:47:21+00:00
Barclays sees 10 ESG themes for 2022,"Barclays research has identified 10 key ESG themes for 2022 which includes seeing companies, sovereigns and investors moving into the implementation phase of net zero.",2022-04-13 07:03:11+00:00
Societe Generale ceases activities in Russia,Societe Generale has said it has ceased its banking and insurance activities in Russia.,2022-04-11 10:49:44+00:00
Schroders publishes Engagement Blueprint,Schroders has announced the launch of its Engagement Blueprint designed to set new standards on active ownership.,2022-04-06 07:27:01+00:00
BofA deploys $250bn in sustainable finance,Bank of America says it mobilized and deployed $250 billion in sustainable finance capital in 2021.,2022-04-05 08:42:07+00:00
Santander adds three ESG hires,Santander Wealth Management & Insurance and Santander Asset Management have made three new ESG hires to its sustainability teams.,2022-03-30 12:56:10+00:00
UN Global Compact launches CFO Coalition,"Corporate sustainability initiative, the UN Global Compact, has announced the launch of the Chief Financial Officersâ Coalition for the SDGs.",2022-03-30 07:47:19+00:00
HSBC hires three senior sustainability experts,HSBC has announced the appointment of three senior sustainability experts.,2022-03-22 08:47:00+00:00
SEC releases proposal for climate disclosure,The US Securities and Exchange Commission Commission has released a proposed rule requiring mandatory climate disclosure from all US public companies.,2022-03-22 08:34:35+00:00
Equinor releases sustainability report for 2021,Equinor ASA has released its 2021 Sustainability Report.,2022-03-18 11:31:56+00:00
UBS publishes sustainability & climate reports,UBS has published its Sustainability Report and Climate Report providing more information on its Climate Roadmap.,2022-03-15 07:21:47+00:00
61% of corporates targeting net zero by 2030,A Westpac survey has revealed that nearly two thirds of corporates are targeting net zero by 2030.,2022-03-14 12:47:22+00:00
Ericsson publishes 2021 sustainability report,"In its 2021 Sustainability and Corporate Responsibility Report, Ericsson says it has delivered on its sustainability targets.",2022-03-10 12:54:55+00:00
FRC adds 74 names to UK Stewardship Code,The Financial Reporting Council has published an updated list of signatories to the UK Stewardship Code.,2022-03-10 12:04:27+00:00
AIG commits to net zero emissions by 2050,American International Group has announced that it plans to achieve net zero greenhouse gas emissions by 2050 or sooner.,2022-03-02 07:46:55+00:00
AllianzGI wants executive pay tied to ESG,Allianz Global Investors has said it will vote against European large caps that do not include ESG criteria in executive pay agreements.Â,2022-02-22 16:36:59+00:00
Trafigura publishes first human rights report,Trafigura Group has published its first stand-alone Human Rights Report.,2022-02-03 11:10:53+00:00
Aviva raises ESG standards for its investments,Aviva Investors says that it expects the companies it invests in to deliver tangible and transparent progress on sustainability in 2022.,2022-01-24 11:47:38+00:00
"NYSTRS ceases investing in oil, gas & coal",The New York State Teachersâ Retirement System has said it will stop investment in 20 oil and gas and thermal coal companies.,2022-01-24 09:02:54+00:00
CaixaBank launches ESG advisory service,CaixaBank has launched a new ESG advisory service to help its clients in their sustainable strategies.,2022-01-24 08:33:20+00:00
ExxonMobil aims for net zero by 2050,ExxonMobil has said it plans to achieve net zero greenhouse gas emissions for operated assets by 2050.,2022-01-19 10:05:52+00:00
HSBC hires head of sustainable infrastructure,HSBC has announced the appointment of Christian Deseglise as Group Head of Sustainable Infrastructure and Innovation.,2022-01-19 08:38:31+00:00
Zero100 launched to cut supply chain carbon,"Zero100 has announced the launch of the Zero100 Advisory Board, a cross-industry coalition of leaders in the digital and sustainable economy.",2022-01-18 08:31:39+00:00
J. Safra Sarasin hires chief sustainability officer,Bank J. Safra Sarasin has announced the appointment of Dr Daniel Wild as Chief Sustainability Officer.,2021-12-23 10:14:55+00:00
Nest and UBS AM divest from 5 energy firms,Pension scheme Nest and UBS Asset Management have said that because of climate change risk they have divested from five energy companies.,2021-12-21 11:36:47+00:00
FCA new rules on climate-related disclosures,The UK Financial Conduct Authority will introduce new rules on 1 January 2202 requiring issuers of listed shares and asset managers to disclose how they will meet the recommendations of the TCFD.,2021-12-21 10:15:22+00:00
BNY Mellon launches three sustainable ETFs,BNY Mellon Investment Management has launched three actively managed sustainable exchange traded funds.,2021-12-16 08:42:31+00:00
ESG now top consideration for M&A,A survey by Grant Thornton of M&A professionals has found that ESG considerations are now key among dealmakers.,2021-12-09 10:14:16+00:00
Coutts pushes LyondellBasell towards net zero,"Coutts, and other shareholders, say they have prompted LyondellBasell to commit to achieve net zero by 2050.",2021-12-08 11:23:34+00:00
VTB Capital says $1.1tn to decarbonise Russia,"It will require investments of $1.1tn to reduce greenhouse gas emissions from the Russian economy by 50% before 2060, says VTB Capital.Â",2021-11-30 16:01:12+00:00
ESG factors slow FTSE 100 pay says PwC,"Executive pay at FTSE 100 companies continues to show restraint in 2021, new research from PwC shows.",2021-11-23 09:24:45+00:00
Sustainalytics launches supply chain product,Sustainalytics has launched its Corporate Supply Chain ESG Solution.,2021-11-22 16:39:55+00:00
Maersk issues green bond for methanol vessels,Shipping company Maersk has issued a 10-year â¬500 million green bond to fund 8 ocean-going container vessels which will be capable of operating on carbon neutral methanol by 2024.,2021-11-22 08:45:31+00:00
92% of S&P publishing sustainability reports,The Governance & Accountability Institute has published its 2021 Sustainability Reporting in Focus.,2021-11-17 09:17:47+00:00
75% of carbon intense firms lack net zero plans,A report by Bloomberg Intelligence shows that only 25% of the most CO2 intensive industries have set reduction strategies that align by 2030.,2021-11-11 12:54:39+00:00
ESG checklist published for CLO market,The European Leveraged Finance Association has published an ESG exclusion checklist for the collateralised loan obligations market.Â,2021-11-11 12:45:27+00:00
COP26: call for action on cement emissions,At COP26 the World Cement Association will outline three key actions governments can take to accelerate the cement industryâs progress towards net zero.,2021-11-10 09:11:18+00:00
MS announces sector net-zero targets,Morgan Stanley has announced plans to reach net-zero financed emissions by 2050 in three sectors.,2021-11-08 08:16:14+00:00
81% of FTSE 100 companies lack net zero plans,A report from EcoAct shows that just 19% of the FTSE 100 have long-term emissions reduction targets to meet net-zero goals.Â,2021-11-01 08:18:43+00:00
ISS ESG adds EVA Leaders Index Series,ISS ESG has launched the EVA Leaders Index Series to help investors integrate ESG criteria across leading global companies.,2021-10-21 08:45:21+00:00
Few FTSE 100 firms have plans for net zero,Fewer than 25% of FTSE 100 companies have published plans to reach net zero carbon emissions which are scientifically backed according to Arabesque.,2021-10-20 08:15:47+00:00
ING publishes first integrated climate report,Dutch bank ING has published its first integrated climate report.,2021-09-17 08:46:15+00:00
Dow publishes INtersections ESG report,"Dow Inc. has released âINtersections,â its first consolidated ESG Report highlighting theÂ  integration of environmental stewardship and social impact throughout the company.",2021-06-25 09:04:50+00:00
FCA publishes new plans for climate disclosure,The UK FCA has published new proposals on climate-related disclosure rules for listed companies.,2021-06-23 09:20:03+00:00
LGIM to divest from four companies,Legal & General Investment Management has said it will divest from four companies due to insufficient action on climate change.,2021-06-21 10:49:56+00:00
JPMorgan adds oil majors to watchlist,JPMorgan says it has added state owned oil companies Petronas and Pertamina to a watchlist for removal from its ESG EMBI index.,2021-06-17 09:45:57+00:00
UN-backed TNFD launched,Today sees the launch of the UN-supported Taskforce on Nature-related Financial Disclosures.,2021-06-04 09:15:58+00:00
ING leads group to decarbonise steel sector,ING and five other banks have formed a working group to take action on climate in the steel sector.,2021-05-28 07:41:56+00:00
Shell ordered to cut emissions by 45%,Royal Dutch Shell has been ordered to cut its greenhouse gas emission cuts by a Dutch court.,2021-05-27 08:24:55+00:00
SPACs target more ESG companies,Data from Nomura Greentech shows US special purpose acquisition companies are increasingly targeting companies with higher ESG standards.Â,2021-05-21 09:11:26+00:00
Deutsche sets earlier sustainable finance target,"Deutsche Bank says it aims to facilitate over 200bn euros in sustainable finance by the end of 2023, two years earlier than planned.",2021-05-20 13:53:49+00:00
DB sets up ESG Centre of Excellence,Deutsche Bank has announced the establishment of an ESG Centre of Excellence in Singapore.,2021-05-20 13:35:43+00:00
Britainâs Emissions Trading System begins,Britainâs Emissions Trading System (ETS) began on Wednesday with prices higher than EU carbon prices at around Â£50 per tonne.,2021-05-20 11:09:23+00:00
JPM Chase release carbon reduction targets,JPMorgan Chase has released carbon targets to align its financing activities with the climate goals of the Paris Agreement.,2021-05-16 15:01:30+00:00
ESG may exclude many firms say Cowen head,"Companies that don’t fully engage with ESG may face total exclusion by investors, Larry Wieseneck, Cowen Co-President, has said.",2021-05-11 09:36:56+00:00
UBS appoints chief sustainability officer,UBS has appointed Michael Baldinger as chief sustainability officer.,2021-05-07 11:53:11+00:00
Norway fund to ESG screen small caps,Norwayâs sovereign oil fund will begin screening small caps stock for ESG risks.,2021-05-06 10:31:47+00:00
Eurasian Resources sets up ESG committee,Mining group Eurasian Resources has announced the setting up of an ESG committee.,2021-04-29 08:39:03+00:00
Natixis report shows strong growth in ESG,A new survey by Natixis Investment Managers shows that 75% of professional investors are now implementing ESG strategies.,2021-04-23 07:42:29+00:00
Only 25% of firms on target for climate goal,A report by Arabesque has found that only 25% of the worldâs biggest companies are on course to limit the global temperature rise to 1.5 degrees by 2050.,2021-04-22 08:29:18+00:00
BHP announces new ESG team,Mining company BHP has created a dedicated ESG team to engage with investors and ratings providers.Â,2021-04-21 08:29:29+00:00
Citi to commit $1tn to sustainable finance,Citi has said it will commit $1 trillion to sustainable finance by 2030.,2021-04-16 11:29:15+00:00
Sustainable bond issues hit record high in Q1,"Total issuance of green, social and sustainability bonds reached a record high of $264 billion in the first quarter of this year according to Refinitiv.Â",2021-04-15 08:50:38+00:00
BofA plans environment initiative of $1tn,Bank of America has announced a goal of deploying $1 trillion by 2030 in its Environmental Business Initiative.,2021-04-14 10:57:09+00:00
Fitch gives ESG vulnerability scores to utilities,Fitch Ratings has assigned ESG Vulnerability Scores to 100 utilities based in EMEA.,2021-04-13 09:09:37+00:00
MSCI says link between diversity & ESG rating,A new report by MSCI says that there is a link between the diversity of companiesâ boards and their ESG Rating.,2021-04-06 10:36:43+00:00
Sber publishes review of ESG trends in Russia,SberCIB Investment Research has prepared the first review of the key ESG trends in Russia.Â,2021-04-06 08:23:54+00:00
VÃ¤rde issues first real estate green bond,VÃ¤rde Partners has issued the first green bond by a residential real estate developer in the Euro market.,2021-03-19 11:13:08+00:00
Study finds pay widely linked to ESG criteria,"Nearly half of FTSE 100 companies use an ESG measure when setting targets for executive pay, a report by PwC and the London Business Schoolâs Centre for Corporate Governance has found.",2021-03-17 14:32:23+00:00
BNP Paribas & Baringa develop climate model,BNP Paribas is developing its climate scenario analysis capability with the use of Baringa’s Climate Change Scenario Model.,2021-03-17 08:29:26+00:00
Cowen to include ESG scores in equity research,US brokers Cowen will now include ESG scores in all their equity research.,2021-03-10 11:34:14+00:00
SEC sets up Climate and ESG Task Force,The US Securities and Exchange Commission has set up the Climate and ESG Task Force.,2021-03-08 12:19:56+00:00
Toyota to issue $4.7 billion in ESG bonds,Toyota Motors says it plans to issue $4.7 billion in sustainability bonds.,2021-03-04 11:51:28+00:00
25% of firms will be carbon neutral by 2030,"Almost a quarter of all companies will be carbon neutral by the end of this decade, according to Fidelity Internationalâs annual Analyst Survey.",2021-03-02 12:14:42+00:00
Wells Fargo appoints head of ESG,Wells Fargo has appointed GeneviÃ¨ve PichÃ© as head of ESG solutions.,2021-03-01 10:40:01+00:00
Aviva to target net zero carbon by 2040,Aviva has today announced its plan to become a net zero carbon emissions company by 2040.,2021-03-01 10:04:27+00:00
ING appoints global head of sustainability,Anne-Sophie Castelnau has been appointed INGâs global head of Sustainability.,2021-02-25 11:42:33+00:00
Amundi to ask companies for climate plans,Amundi has said it will ask companies their plans to reduce emissions at upcoming shareholder meetings.,2021-02-22 08:37:32+00:00
SMI announces FSTF bank members,The Sustainable Markets Initiative has announced the bank executive members of its Financial Services Task Force.,2021-02-18 09:21:22+00:00
S&P Global makes 9200 ESG scores free,S&P Global has made its ESG scores of 9200 companies publicly available.,2021-02-17 11:31:42+00:00
GS says ESG to become core part of strategy,Goldman Sachs has said it plans to issue more ESG bonds in its effort to manage $750 billion in sustainable financing by 2030.,2021-02-15 08:59:05+00:00
JP Morgan hires Chuka Umunna to lead ESG,Former Labour leadership candidate Chuka Umunna has been hired by JP Morgan to lead its ESG strategy.Â,2021-02-12 10:58:16+00:00
BofA sets out emissions targets for 2030,Bank of America has announced plans to achieve net zero greenhouse gas emissions in its operations by 2030.,2021-02-12 09:38:37+00:00
SEC appoints ESG policy advisor,The US Securities and Exchange Commission has appointed Satyam Khanna as senior policy adviser on climate and ESG issues.,2021-02-02 09:24:15+00:00
ESMA calls for action on ESG ratings,The European Securities and Markets Authority (ESMA) has written to the European Commission urging them to bring in rules to regulate ESG ratings.,2021-02-01 08:32:06+00:00
Businesses commit to new ESG metrics,"A coalition of 61 business leaders has announced its commitment to the Stakeholder Capitalism Metrics, a set of ESG metrics released by the World Economic Forum.",2021-02-01 08:19:31+00:00
Refinitiv makes ESG company scores free,Refinitiv says its ESG company scores are now available free on its website and its ESG data is available via the Refinitiv ESG Voice App.,2021-01-28 10:59:50+00:00
PepsiCo pledges net-zero emissions by 2040,PepsiCo has announced plans to source 100% renewable electricity across all of its company operations by 2040.,2021-01-14 11:13:07+00:00
FCA introduces new rule for climate disclosures,The UK Financial Conduct Authority has published a final rule and guidance promoting better climate-related financial disclosures for UK listed companies. Â Â,2020-12-22 09:50:51+00:00
VW to tie executive bonuses to ESG targets,Volkswagen says it plans to link top executivesâ bonuses to ESG targets.,2020-12-18 09:52:17+00:00
MSIM adds new sustainable fixed income fund,Morgan Stanley Investment Management has announced the UK Sustainable Fixed Income Opportunities Fund.,2020-12-14 10:09:21+00:00
Rathbone Greenbank signs biodiversity pledge,"Rathbone Greenbank Investments has signed the Finance for Biodiversity Pledge, which was launched by 26 financial institutions from ten countries in September.",2020-12-09 11:01:48+00:00
